usuario_id,nombre,apodo,contraseña,fecha_creacion,verificado,rol
1,Tonya Powell DDS,jennifertaylor,#T15CwwV)(,2020-05-28,False,Creador
2,Larry Gonzales,ulee,W9SX5MXp+l,2021-01-25,False,Jugador
3,Andrew Freeman,yvonnemartin,o3MqAOnz_L,2024-06-18,False,Ambos
4,Michael Medina,sarah32,bLllG5Wm#(,2021-04-30,True,Ambos
5,Kyle Foster,idavis,E_7F(0DtuQ,2024-12-05,False,Ambos
6,John Nunez,williamskristina,v@YM9J%x$2,2024-02-28,True,Ambos
7,Brenda Martinez,aaronvaldez,*A3HEkHdN%,2021-09-28,False,Jugador
8,Sean Johnson,johntaylor,6np)Dkog(v,2020-03-27,False,Ambos
9,Steven Jackson,michaelnoble,kFP7yHyp+I,2024-06-06,True,Ambos
10,Taylor Nash,mcleanlauren,k4w&SEPp(5,2023-07-11,True,Creador
11,Lisa Smith,mbaker,M1^!G#Uqt!,2022-12-11,True,Jugador
12,Tiffany Friedman,breyes,7dLtt@fc)1,2023-08-31,True,Ambos
13,Angelica Shelton,kimberlythomas,%qTM)Rk1B4,2021-10-20,False,Creador
14,Richard Stout,blevy,%*9PHKyt3m,2022-11-08,True,Jugador
15,Mark Le,obrienmichael,$5PZg(^Cf$,2021-07-27,False,Ambos
16,Brian Carroll,wcantrell,96fHw3Gg(c,2023-07-13,False,Ambos
17,Lauren Barber,hailey31,6667FSPv+0,2023-11-11,False,Creador
18,Matthew Reynolds,hmendez,RJ9CbUmld#,2023-07-17,True,Ambos
19,Patricia Robinson,nicholashayes,P&4aVkncHH,2020-07-30,False,Creador
20,Tracy Mosley,chensarah,1p32UtUe*j,2023-06-15,False,Creador
21,Misty Nelson,kimhunt,1he!Adu8+$,2022-01-02,True,Ambos
22,Holly Moore,edwardskrystal,!t2Rhq))0l,2021-01-09,True,Ambos
23,Pamela Mckinney,esmith,dPo2PGIl@L,2022-09-21,False,Jugador
24,Christian Miller,cheryl46,6h*4Jf1Wn!,2024-10-06,False,Jugador
25,Karen Brown MD,ellendeleon,w3j5TKun$y,2024-03-25,False,Jugador
26,Brandon Lopez,karlawallace,)4B1SGdIVL,2021-10-24,False,Jugador
27,Joshua Mckay,rgomez,ET1Qsk(u$r,2023-11-24,False,Creador
28,Adrian Gonzalez,phillip74,u$4PAHz+vB,2025-04-05,False,Ambos
29,Caitlyn Reed,johnflores,0r!+8En*rW,2024-11-13,False,Ambos
30,Paula Garcia,eric00,)XN9Gc!e)),2022-05-06,True,Creador
31,Colleen Thomas,kevingreen,$)U1*Yfr7W,2023-11-13,True,Ambos
32,Austin Madden,dwayne27,Rog4YutlH(,2025-01-17,True,Ambos
33,Monica Robinson,cristina33,(8Z)AGla)O,2021-09-27,False,Ambos
34,Austin Fuller,haneysteven,ov1D1JFA+!,2021-10-18,True,Ambos
35,Michelle Cardenas,shelley00,ABMPqu6S@6,2020-06-22,True,Creador
36,Darrell Lopez,starkjohn,&%M3WOxaR(,2023-07-04,False,Ambos
37,Andrea Mccall,brandon45,7(0I9M5u_e,2024-03-28,True,Creador
38,Cassandra Ryan,connormorris,t56pD6mfb(,2024-05-08,True,Creador
39,John Burns,scott16,Km7SiwW@Z),2024-09-02,True,Jugador
40,Alyssa Brown MD,julietodd,A*^Q8)Fm+w,2020-09-08,False,Creador
41,Tony Webb,lisaharper,(CQ2obg4v4,2021-06-14,False,Creador
42,Kristi Henry,kalvarez,(7RS_Ejr(C,2024-10-07,False,Creador
43,Michael Morgan,kelly13,L8HOd1zs$J,2024-07-21,False,Creador
44,John Hartman,brian71,*%9CrJdrsF,2020-04-20,False,Creador
45,Amy Reese,agreen,$hG8N(Ps_$,2022-09-20,False,Ambos
46,Angelica Garcia MD,lori07,&2IV^uNn#0,2020-12-31,False,Creador
47,Jessica Haynes MD,teresa69,s+7ey^hjMC,2024-02-03,False,Ambos
48,John Williams,elizabethford,*7Bh5GrdNk,2022-05-10,False,Jugador
49,Julie Petty,tylergregory,$33TqI!dDc,2025-03-28,False,Creador
50,Heather Ross,erin43,ryZ9AhXA)e,2020-11-30,True,Creador
51,David Armstrong,dsummers,#ni8WChfnQ,2021-06-07,True,Ambos
52,Sean Brown,howardlauren,!+i)CApv54,2020-02-21,False,Creador
53,Nathan Fowler,connienelson,N%)7M1dJI!,2021-10-21,False,Creador
54,Sean Hampton,kylewilliams,VC5VHc)x!v,2021-08-26,True,Creador
55,Paula Bauer,robert53,F8#xE1ri#I,2023-03-09,True,Creador
56,Daniel Mcguire,chelsea83,B2VH9vJ)+h,2022-10-26,False,Jugador
57,Lisa Shaw,karenpierce,2x^1GLhX_$,2023-06-01,False,Jugador
